;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50
o26;0;1;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1
o27;0;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
o28;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0
o29;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1
o30;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1
o31;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;1;0
o32;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0
o33;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0
o34;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1
o35;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;1
o36;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0
o37;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0
o38;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0;1;0
o39;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0
o40;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0
o41;1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0
o42;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1
o43;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0
o44;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0
o45;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1;0;1
o46;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1
o47;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1
o48;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0
o49;0;1;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0
o50;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0
