;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40
o19;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0
o20;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
o21;0;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1
o22;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0;1;0;1;0;0
o23;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0
o24;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;1
o25;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1
o26;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;1
o27;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0
o28;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1
o29;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0
o30;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1
o31;1;1;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1
o32;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;1
o33;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;1
o34;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0
o35;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;0
o36;1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0
o37;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0
o38;0;1;0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1
o39;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0
o40;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1
