;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78;a79;a80
o19;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;1
o20;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
o21;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1
o22;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;1
o23;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0
o24;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0
o25;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0
o26;0;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1
o27;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0
o28;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1
o29;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;1;1;1;1
o30;0;0;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1
o31;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;0;1;1;1
o32;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1
o33;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0
o34;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1
o35;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1
o36;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1
o37;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1
o38;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1
o39;1;1;0;0;1;1;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1
o40;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0
o41;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;1;1;0;0
o42;1;0;0;1;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;1;1
o43;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0
o44;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1
o45;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;1
o46;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1
o47;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1
o48;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1
o49;1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1
o50;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0
o51;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1
o52;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0
o53;0;1;0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;1;0;0
o54;0;1;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0
o55;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0
o56;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1
o57;0;1;0;0;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0
o58;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1
o59;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1
o60;1;1;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1
o61;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;0
o62;0;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0
o63;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0
o64;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1
o65;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0
o66;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1
o67;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;1
o68;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1
o69;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0
o70;0;0;0;0;1;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
o71;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;1;1;0;0;0;1;0;0;1
o72;1;0;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1
o73;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;1
o74;0;0;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0
o75;0;1;1;0;1;1;1;1;0;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0
o76;0;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1
o77;0;0;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;0
o78;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
o79;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0
o80;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
