;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20
o130;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0
o131;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0
o132;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0
o133;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1
o134;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1
o135;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1
o136;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0
o137;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1
o138;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0
o139;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1
o140;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1
o141;1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;1
o142;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;1
o143;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0
o144;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1
o145;0;0;1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1
o146;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0
o147;1;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0
o148;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1
o149;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1
o150;0;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0
o151;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1
o152;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1
o153;0;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0
o154;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1
o155;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0
o156;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0
o157;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0
o158;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0
o159;0;0;1;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0
o160;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1
o161;1;1;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0
o162;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0
o163;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1
o164;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0
o165;1;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;1
o166;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0
o167;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1
o168;1;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0
o169;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0
o170;0;0;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1
o171;1;0;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1
o172;0;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0
o173;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;1;0;0
o174;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0
o175;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0
o176;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;1
o177;0;0;0;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1
o178;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;1
o179;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1
o180;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0
o181;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0
o182;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1
o183;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;1
o184;1;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1
o185;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1
o186;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1
o187;0;0;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1
o188;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;1
o189;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0
o190;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0
o191;0;1;0;0;1;0;1;0;0;0;0;1;1;1;1;0;1;1;0;1
o192;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1
o193;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0
o194;0;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1
o195;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1
o196;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1
o197;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1
o198;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0
o199;1;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0
o200;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1
o201;0;1;1;1;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0
o202;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1
o203;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1
o204;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;1
o205;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1
o206;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0
o207;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0
o208;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0
o209;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0
o210;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1
o211;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1
o212;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0
o213;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;1;1
o214;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;0;0
o215;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0
o216;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;1;1;1;0
o217;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1
o218;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0
o219;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0
o220;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0
o221;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0
o222;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;1;0;1;0
o223;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1
o224;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0
o225;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1
o226;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1
o227;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
o228;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0
o229;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1
o230;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0
o231;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0
o232;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;0
o233;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0
o234;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0
o235;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1
o236;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1
o237;0;0;1;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0;1;0
o238;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1
o239;0;0;0;1;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0
o240;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0
o241;0;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;0;0
o242;1;1;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1
o243;0;0;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1
o244;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1
o245;0;0;1;0;0;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0
o246;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1
o247;1;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0
o248;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1
o249;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0
o250;1;1;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;1
o251;1;0;1;0;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1
o252;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1
o253;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0
o254;1;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1
o255;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1
o256;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0
o257;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;1;1;0
o258;1;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1
o259;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0
o260;0;1;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;0;0;0
o261;0;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1
o262;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;0;1;0
o263;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0
o264;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0
o265;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0
o266;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1
o267;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1
o268;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1
o269;1;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1
o270;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1
o271;1;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0
o272;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0
o273;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;1
o274;0;0;0;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0
o275;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1
o276;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0
o277;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1
o278;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0
o279;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0
o280;1;1;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;1;0;1
o281;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1
o282;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0
o283;0;1;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0
o284;1;0;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1
o285;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1
o286;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1
o287;1;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0
o288;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1
o289;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0;1;1;1
o290;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1
o291;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1
o292;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0
o293;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0
o294;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1
o295;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1
o296;1;0;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0
o297;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0
o298;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1
o299;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0
o300;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0
o301;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0
o302;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;0;0;0;1;1
o303;1;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0
o304;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;1
o305;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0
o306;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1
o307;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1
o308;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0
o309;1;1;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1
o310;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1
o311;1;1;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1
o312;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1
o313;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;1;0
o314;1;1;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0
o315;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;1;1
o316;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0
o317;1;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0
o318;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0
o319;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0
o320;1;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1
o321;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1
o322;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;0;1;1;1
